完全修飾名(FQDN),種類,スコープ,更新回数,作成日,作成日ハッシュ,最終更新日,最終更新日ハッシュ,被参照数(ref_count),実利用フラグ(actual_use)
tests/test_meta_scorer.py::test_keyword_hit_score_match,function,global,1,2026-05-15T16:18:57+09:00,e59d103a1397a518cb6520af971d8eeb1f041ed5,2026-05-15T16:18:57+09:00,e59d103a1397a518cb6520af971d8eeb1f041ed5,0,TRUE
tests/test_meta_scorer.py::test_keyword_hit_score_match.score,variable,local,0,(working_),working_,(working_),working_,0,TRUE
tests/test_meta_scorer.py::test_keyword_hit_score_no_match,function,global,1,2026-05-15T16:18:57+09:00,e59d103a1397a518cb6520af971d8eeb1f041ed5,2026-05-15T16:18:57+09:00,e59d103a1397a518cb6520af971d8eeb1f041ed5,0,TRUE
tests/test_meta_scorer.py::test_keyword_hit_score_no_match.p,variable,local,0,(working_),working_,(working_),working_,0,TRUE
tests/test_meta_scorer.py::test_keyword_hit_score_no_match.score,variable,local,0,(working_),working_,(working_),working_,0,TRUE
tests/test_meta_scorer.py::test_filetype_score_pdf,function,global,1,2026-05-15T16:18:57+09:00,e59d103a1397a518cb6520af971d8eeb1f041ed5,2026-05-15T16:18:57+09:00,e59d103a1397a518cb6520af971d8eeb1f041ed5,0,TRUE
tests/test_meta_scorer.py::test_filetype_score_unknown,function,global,1,2026-05-15T16:18:57+09:00,e59d103a1397a518cb6520af971d8eeb1f041ed5,2026-05-15T16:18:57+09:00,e59d103a1397a518cb6520af971d8eeb1f041ed5,0,TRUE
tests/test_meta_scorer.py::test_filetype_score_unknown.p,variable,local,0,(working_),working_,(working_),working_,0,TRUE
tests/test_meta_scorer.py::test_size_score_in_range,function,global,1,2026-05-15T16:18:57+09:00,e59d103a1397a518cb6520af971d8eeb1f041ed5,2026-05-15T16:18:57+09:00,e59d103a1397a518cb6520af971d8eeb1f041ed5,0,TRUE
tests/test_meta_scorer.py::test_size_score_in_range.score,variable,local,0,(working_),working_,(working_),working_,0,TRUE
tests/test_meta_scorer.py::test_path_depth_score,function,global,1,2026-05-15T16:18:57+09:00,e59d103a1397a518cb6520af971d8eeb1f041ed5,2026-05-15T16:18:57+09:00,e59d103a1397a518cb6520af971d8eeb1f041ed5,0,TRUE
tests/test_meta_scorer.py::test_path_depth_score.score,variable,local,0,(working_),working_,(working_),working_,0,TRUE
tests/test_meta_scorer.py::test_folder_density_score_sparse,function,global,1,2026-05-15T16:18:57+09:00,e59d103a1397a518cb6520af971d8eeb1f041ed5,2026-05-15T16:18:57+09:00,e59d103a1397a518cb6520af971d8eeb1f041ed5,0,TRUE
tests/test_meta_scorer.py::test_folder_density_score_sparse.score,variable,local,0,(working_),working_,(working_),working_,0,TRUE
tests/test_queue_builder.py::_make_records,function,global,1,2026-05-15T16:18:57+09:00,e59d103a1397a518cb6520af971d8eeb1f041ed5,2026-05-15T16:18:57+09:00,e59d103a1397a518cb6520af971d8eeb1f041ed5,0,TRUE
tests/test_queue_builder.py::test_queue_sorted_descending,function,global,1,2026-05-15T16:18:57+09:00,e59d103a1397a518cb6520af971d8eeb1f041ed5,2026-05-15T16:18:57+09:00,e59d103a1397a518cb6520af971d8eeb1f041ed5,0,TRUE
tests/test_queue_builder.py::test_queue_sorted_descending.out,variable,local,0,(working_),working_,(working_),working_,0,TRUE
tests/test_queue_builder.py::test_queue_sorted_descending.lines,variable,local,0,(working_),working_,(working_),working_,0,TRUE
tests/test_queue_builder.py::test_queue_sorted_descending.scores,variable,local,0,(working_),working_,(working_),working_,0,TRUE
tests/test_queue_builder.py::test_queue_rank_starts_at_1,function,global,1,2026-05-15T16:18:57+09:00,e59d103a1397a518cb6520af971d8eeb1f041ed5,2026-05-15T16:18:57+09:00,e59d103a1397a518cb6520af971d8eeb1f041ed5,0,TRUE
tests/test_queue_builder.py::test_queue_rank_starts_at_1.out,variable,local,0,(working_),working_,(working_),working_,0,TRUE
tests/test_queue_builder.py::test_queue_rank_starts_at_1.first,variable,local,0,(working_),working_,(working_),working_,0,TRUE
tests/test_queue_builder.py::test_queue_entry_count,function,global,1,2026-05-15T16:18:57+09:00,e59d103a1397a518cb6520af971d8eeb1f041ed5,2026-05-15T16:18:57+09:00,e59d103a1397a518cb6520af971d8eeb1f041ed5,0,TRUE
tests/test_queue_builder.py::test_queue_entry_count.records,variable,local,0,(working_),working_,(working_),working_,0,TRUE
tests/test_queue_builder.py::test_queue_entry_count.out,variable,local,0,(working_),working_,(working_),working_,0,TRUE
tests/test_queue_builder.py::test_queue_entry_count.lines,variable,local,0,(working_),working_,(working_),working_,0,TRUE
tests/test_record_writer.py::test_write_record_creates_json,function,global,1,2026-05-15T16:18:57+09:00,e59d103a1397a518cb6520af971d8eeb1f041ed5,2026-05-15T16:18:57+09:00,e59d103a1397a518cb6520af971d8eeb1f041ed5,0,TRUE
tests/test_record_writer.py::test_write_record_creates_json.fp,variable,local,0,(working_),working_,(working_),working_,0,TRUE
tests/test_record_writer.py::test_write_record_creates_json.meta,variable,local,0,(working_),working_,(working_),working_,0,TRUE
tests/test_record_writer.py::test_write_record_creates_json.out,variable,local,0,(working_),working_,(working_),working_,0,TRUE
tests/test_record_writer.py::test_write_record_creates_json.data,variable,local,0,(working_),working_,(working_),working_,0,TRUE
tests/test_sensitivity.py::test_spearman_rho_identical,function,global,1,2026-05-15T16:18:57+09:00,e59d103a1397a518cb6520af971d8eeb1f041ed5,2026-05-15T16:18:57+09:00,e59d103a1397a518cb6520af971d8eeb1f041ed5,0,TRUE
tests/test_sensitivity.py::test_spearman_rho_identical.x,variable,local,0,(working_),working_,(working_),working_,0,TRUE
tests/test_sensitivity.py::test_spearman_rho_single_element,function,global,1,2026-05-15T16:18:57+09:00,e59d103a1397a518cb6520af971d8eeb1f041ed5,2026-05-15T16:18:57+09:00,e59d103a1397a518cb6520af971d8eeb1f041ed5,0,TRUE
tests/test_sensitivity.py::test_run_sensitivity_stable,function,global,1,2026-05-15T16:18:57+09:00,e59d103a1397a518cb6520af971d8eeb1f041ed5,2026-05-15T16:18:57+09:00,e59d103a1397a518cb6520af971d8eeb1f041ed5,0,TRUE
tests/test_sensitivity.py::test_run_sensitivity_stable.records,variable,local,0,(working_),working_,(working_),working_,0,TRUE
tests/test_sensitivity.py::test_run_sensitivity_stable.result,variable,local,0,(working_),working_,(working_),working_,0,TRUE
tests/test_topic_scorer.py::test_cosine_similarity_identical,function,global,1,2026-05-15T16:18:57+09:00,e59d103a1397a518cb6520af971d8eeb1f041ed5,2026-05-15T16:18:57+09:00,e59d103a1397a518cb6520af971d8eeb1f041ed5,0,TRUE
tests/test_topic_scorer.py::test_cosine_similarity_identical.v,variable,local,0,(working_),working_,(working_),working_,0,TRUE
tests/test_topic_scorer.py::test_cosine_similarity_orthogonal,function,global,1,2026-05-15T16:18:57+09:00,e59d103a1397a518cb6520af971d8eeb1f041ed5,2026-05-15T16:18:57+09:00,e59d103a1397a518cb6520af971d8eeb1f041ed5,0,TRUE
tests/test_topic_scorer.py::test_cosine_similarity_orthogonal.a,variable,local,0,(working_),working_,(working_),working_,0,TRUE
tests/test_topic_scorer.py::test_cosine_similarity_orthogonal.b,variable,local,0,(working_),working_,(working_),working_,0,TRUE
tests/test_topic_scorer.py::test_cosine_similarity_zero_vector,function,global,1,2026-05-15T16:18:57+09:00,e59d103a1397a518cb6520af971d8eeb1f041ed5,2026-05-15T16:18:57+09:00,e59d103a1397a518cb6520af971d8eeb1f041ed5,0,TRUE
tests/test_topic_scorer.py::test_compute_chunk_scores_position_assignment,function,global,1,2026-05-15T16:18:57+09:00,e59d103a1397a518cb6520af971d8eeb1f041ed5,2026-05-15T16:18:57+09:00,e59d103a1397a518cb6520af971d8eeb1f041ed5,0,TRUE
tests/test_topic_scorer.py::test_compute_chunk_scores_position_assignment.proto_vecs,variable,local,0,(working_),working_,(working_),working_,0,TRUE
tests/test_topic_scorer.py::test_compute_chunk_scores_position_assignment.proto_texts,variable,local,0,(working_),working_,(working_),working_,0,TRUE
tests/test_topic_scorer.py::test_compute_chunk_scores_position_assignment.chunks,variable,local,0,(working_),working_,(working_),working_,0,TRUE
tests/test_topic_scorer.py::test_compute_chunk_scores_position_assignment.results,variable,local,0,(working_),working_,(working_),working_,0,TRUE
tests/test_topic_scorer.py::test_compute_chunk_scores_s_topic_range,function,global,1,2026-05-15T16:18:57+09:00,e59d103a1397a518cb6520af971d8eeb1f041ed5,2026-05-15T16:18:57+09:00,e59d103a1397a518cb6520af971d8eeb1f041ed5,0,TRUE
tests/test_topic_scorer.py::test_compute_chunk_scores_s_topic_range.proto_vecs,variable,local,0,(working_),working_,(working_),working_,0,TRUE
tests/test_topic_scorer.py::test_compute_chunk_scores_s_topic_range.proto_texts,variable,local,0,(working_),working_,(working_),working_,0,TRUE
tests/test_topic_scorer.py::test_compute_chunk_scores_s_topic_range.chunks,variable,local,0,(working_),working_,(working_),working_,0,TRUE
tests/test_topic_scorer.py::test_compute_chunk_scores_s_topic_range.results,variable,local,0,(working_),working_,(working_),working_,0,TRUE
tests/test_year_classifier.py::test_extract_year_from_path,function,global,1,2026-05-15T16:18:57+09:00,e59d103a1397a518cb6520af971d8eeb1f041ed5,2026-05-15T16:18:57+09:00,e59d103a1397a518cb6520af971d8eeb1f041ed5,0,TRUE
tests/test_year_classifier.py::test_extract_year_from_path.p,variable,local,0,(working_),working_,(working_),working_,0,TRUE
tests/test_year_classifier.py::test_extract_year_fallback_to_mtime,function,global,1,2026-05-15T16:18:57+09:00,e59d103a1397a518cb6520af971d8eeb1f041ed5,2026-05-15T16:18:57+09:00,e59d103a1397a518cb6520af971d8eeb1f041ed5,0,TRUE
tests/test_year_classifier.py::test_extract_year_fallback_to_mtime.p,variable,local,0,(working_),working_,(working_),working_,0,TRUE
tests/test_year_classifier.py::test_extract_year_fallback_to_mtime.year,variable,local,0,(working_),working_,(working_),working_,0,TRUE
tests/test_year_classifier.py::test_year_weight_current,function,global,1,2026-05-15T16:18:57+09:00,e59d103a1397a518cb6520af971d8eeb1f041ed5,2026-05-15T16:18:57+09:00,e59d103a1397a518cb6520af971d8eeb1f041ed5,0,TRUE
tests/test_year_classifier.py::test_year_weight_current.current,variable,local,0,(working_),working_,(working_),working_,0,TRUE
tests/test_year_classifier.py::test_year_weight_old,function,global,1,2026-05-15T16:18:57+09:00,e59d103a1397a518cb6520af971d8eeb1f041ed5,2026-05-15T16:18:57+09:00,e59d103a1397a518cb6520af971d8eeb1f041ed5,0,TRUE
tests/test_year_classifier.py::test_year_weight_old.old_year,variable,local,0,(working_),working_,(working_),working_,0,TRUE
